"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Rapur, Nellor","Sri Potti Sriramulu Nellore","Andhra Pradesh","2(f)","1984","Bachelor's","Non Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","RLY Kodur, District Cuddaph","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","Puttor, District Chittor","Chittoor","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Rani Durgavati Vishwavidyalaya, Jabalpur","Nainpur, Dist. Mandla","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Rani Durgavati Vishwavidyalaya, Jabalpur","Sleemnabad, Dist. Katni","","Madhya Pradesh","2(f) and 12(B)","1990","Bachelor's","Government",""
"Govt. Degree College","Rani Durgavati Vishwavidyalaya, Jabalpur","Bhua - Bichhiya, Dist. Mandla","","Madhya Pradesh","2(f) and 12(B)","1984","Bachelor's","Government",""
"Govt. Degree College","M.J.P.Rohilkhand University, Bareilly","Budaun","","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Government",""
"Govt. Degree College","Krishna University, Machllipatanam","Bantumilli – 521 324, Dist. Krishna","Krishna","Andhra Pradesh","2(f)","1997","Bachelor's","Government","Aided"
"Govt. Degree College","Osmania University, Hyderabad","Narayankhed, Dist. Medak – 502 286","","Telangana","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Devi Ahilya Vishwavidyalaya, Indore","Badnawar, Dist. Dhar","","Madhya Pradesh","2(f) and 12(B)","2000","Bachelor's","Government",""
"Govt. Degree College","Guru Ghasidas Vishwavidyalaya, Bilaspur","Sitapur, Dist. Surguja","","Chhattisgarh","2(f) and 12(B)","1984","Bachelor's","Government",""
"Govt. Degree College","Jiwaji University, Gwalior","Sheopurkalan, Dist. Seopauk","","Madhya Pradesh","2(f) and 12(B)","1966","Bachelor's","Government",""
"Govt. Degree College","Jiwaji University, Gwalior","Karera, Dist. Shivpuri","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Jiwaji University, Gwalior","Lahar, Dist. Bhind","","Madhya Pradesh","2(f) and 12(B)","1989","Bachelor's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Bhains Dehi, Dist. Betul","","Madhya Pradesh","2(f)","1983","Bachelor's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Kuruwai, Dist. Vidisha","","Madhya Pradesh","2(f)","1983","Bachelor's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Athnor, Dist. Betul","","Madhya Pradesh","2(f)","1987","Bachelor's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Pipariya, Dist. Hoshangabad","","Madhya Pradesh","2(f) and 12(B)","1962","Master's","Government",""
"Govt. Degree College","Barkatullah University, Bhopal","Timarni, Dist. Hoshangabad","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Awadesh Pratap Singh University, Rewa","Gurh, Distt. Rewa","Rewa","Madhya Pradesh","2(f) and 12(B)","1984","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Mendhar, Poonch – 185 211","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Kilam, Tehsil & District Kulgam – 192 231","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Akhnoor – 181 201","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Dharmari – 182 313, Teh. Mahore, Dist. Reasi","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Naidupeta – 524 126, Nellore Dist.","Sri Potti Sriramulu Nellore","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Budhal, Dist. Rajouri – 185 133","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","B.P.O. Chatroo, Teh. Chatroo, Dist. Kishtwar – 182 205","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Osmania University, Hyderabad","Ramannapet, Distt. Nalgaonda","","Telangana","2(f) and 12(B)","1994","Bachelor's","Government",""
"Govt. Degree College","Osmania University, Hyderabad","Junior College Building, Beside Tahsildar Office, Narsapur – 502 313, Dist. Medak","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Osmania University, Hyderabad","Dubbak, Dist. Medak","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
