"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"387","State","Sardar Patel University Mandi","Vallabh Government College CampusAdministrative BlockMandi Sadar, Mandi","175001","Himachal Pradesh","2(f)"
"388","State","Sardar Patel University of Police, Security & Criminal Justice","Opp. Gramin Police line, Mathania Road, Daijar, Jodhpur","342304","Rajasthan","2(f)"
"389","State","Sardar Vallabh Bhai Patel University of Agriculture & Technology","Modipuram, Meerut,  U.P-250110","","Uttar Pradesh","2(f)"
"390","State","Satavahana University","SATAVAHANA UNIVERSITY, MALKAPUR ROAD, KARIMNAGAR, TELANGANA STATEAndhra Pradesh-505001","505002","Telangana","2(f)"
"391","State","Saurashtra University","Kalavad RoadRajkot Gujarat","360 005","Gujarat","2(f) & 12(B)"
"392","State","Savitribai Phule Pune University","Ganeshkhind Road,  Pune, Maharashtra, India.Pune","411007","Maharashtra","2(f) & 12(B)"
"393","State","Shaheed Bhagat Singh State University","Moga Road, Firozpur","152001","Punjab","2(f)"
"394","State","Shaheed Mahendra Karma Vishvidyalaya","Dharampura 2, Jagdalpur, Distt. Bastar, ChhattisgarhChhattisgarh -494005","494001","Chhattisgarh","2(f)"
"395","State","Shaheed Nandkumar Patel Vishwavidyalaya","Garhumaria, Odisha Road,Raigarh","496001","Chhattisgarh","2(f)"
"396","State","Sher-e-Kashmir University of Agricultural Science & Technology","Shalimar, srinagar J and K Srinagar-190 001. (J&K)","190025","Jammu and Kashmir","2(f) & 12(B)"
"397","State","Sher-e-Kashmir University of Agricultural Science & Technology, Jammu","Jammu","","Jammu and Kashmir","2(f)"
"398","State","Shivaji University","Vidyanagar KolhapurKolhapur - 416 004.","416004","Maharashtra","2(f) & 12(B)"
"399","State","Shree Sankaracharaya University of Sanskrit","P.B.No. 14, Kalady District,ErnakulamKalady","","Kerala","2(f) & 12(B)"
"400","State","Shree Somnath Sanskrit University","Ta: VeravalDistrict Junagarh","","Gujarat","2(f) & 12(B)"
"401","State","Shri Govind Guru University","Government Polytechnic Campus, RTO Road, Gadukpur, Godhra, Dist. Panchmahal (Gujarat)-389001 Gadukpur,Godhra,Dist. Panchmahals","389001","Gujarat","2(f)"
"402","State","Shri Jagannath Sanskrit Vishwavidyalaya","Shikha Rd, Penthakata, Puri","752003","Odisha","2(f) & 12(B)"
"403","State","Shri Krishna AYUSH University","Umri Road, Sector-8,Kurukshetra","","Haryana","2(f)"
"404","State","Shri Mata Vaishno Devi University","SMVD University, Kakryal, Katra, J&KKatra,J&K","182320","Jammu and Kashmir","2(f) & 12(B)"
"405","State","Shri Vishwakarma Skill University","Dudhola, Palwal","121102","Haryana","2(f)"
"406","State","Sibsagar University","P.O. Joysagar, Dist. Sivasagar","785665","Assam","2(f)"
"407","State","Siddharth University","Siddharth University Kapilvastu, Siddharth NagarSiddharth Nagar","272202","Uttar Pradesh","2(f)"
"408","State","Sidho-Kanho-Birsha University","Sidho-Kanho-Birsha University, Rachi Road, PO- Sainik School, Dist.- Purulia, PIN-723104, West BengalRanchi Road Campus,Near Sainik School,Purulia","723104","West Bengal","2(f) & 12(B)"
"409","State","Sido Kanhu Murmu University","Dighi Campus, Dumka - Pakur Road, Dumka Dumka,","814110","Jharkhand","2(f) & 12(B)"
"410","State","Sikkim National Law University","Sikkim Government Law CollegeBurtuk(Campus)Gangtok","737101","Sikkim","2(f)"
"411","State","Smt. Nathibai Damodar Thackersey Women's University","1,Nathibai Thackersay Rd.Mumbai - 400 020.","","Maharashtra","2(f) & 12(B)"
"412","State","Soban Singh Jeena University","Almora","","Uttarakhand","2(f)"
"413","State","Sports University of Haryana","Near 20th Mile Stone (Biswa-Mile), NH-44, Rai, Sonipat","131029","Haryana","2(f)"
"414","State","Sree Narayanguru Open University","Kollam","691601","Kerala","2(f)"
