Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
"Indraprastha Institute of Management & Technology,","Maa Shakumbhari University, Punwarka, Saharanpur","Village- Umahi, Post- Kota,  Near Sidki Chauraha,  Muzaffarnagar- Saharanpur Road,  Saharanpur-247 001,",Saharanpur,Uttar Pradesh,2(f),2016.0,Bachelor's,Non Government,Unaided,colleges,Village,Umahi,,,,0.6000000000000001,Saharanpur,False,True
"Indraraj Arts, Commerce & Science College","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Sillod, Dist. Aurangabad – 431 112",,Maharashtra,2(f) and 12(B),1998.0,Bachelor's,Non Government,Aided,colleges,Sillod,Dist. Aurangabad – 431 112,,,,0.6000000000000001,,False,True
Indrasan Singh Swatantrata Sangram Senani Rajkiya Mahavidyalaya,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Pachwas, Basti, District Basti- 272 127",,Uttar Pradesh,2(f) and 12(B),1994.0,Bachelor's,Government,Aided,colleges,Pachwas,Basti,,,,0.6000000000000001,,False,True
Indravati Mahavidyalaya +3,"Sambalpur University, Sambalpur","P.O. Jaipatna, Dist. Kalahandi",,Odisha,2(f) and 12(B),2004.0,Bachelor's,Non Government,Aided,colleges,P.O. Jaipatna,Dist. Kalahandi,,,,0.6000000000000001,,False,True
Indrawas Kumari Memorial Degree College,"Veer Bahadur Singh Purvanchal University, Jaunpur","Anapur, Allahabad",,Uttar Pradesh,2(f),1996.0,Bachelor's,Non Government,,colleges,Anapur,Allahabad,,,,0.6000000000000001,,False,True
IndSearch Institute of Management Studies & Research,"Savitribai Phule Pune University, Pune","85/1, Law College Road, Erandavana, Pune – 411 004",Pune,Maharashtra,2(f) and 12(B),1981.0,Master's,Non Government,Unaided,colleges,85/1,Law College Road,,,,0.6000000000000001,Pune,False,True
Indu Devi Rampati Mahila Mahavidyalaya,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Tamkuhi Road, Seorahi, Dist. Kushinagar – 274 406",Kushinagar,Uttar Pradesh,2(f) and 12(B),2005.0,Bachelor's,Non Government,Unaided,colleges,Tamkuhi Road,Seorahi,,,,0.6000000000000001,Kushinagar,False,True
"Infant Jesus College of Arts and Science for Women,","Manonmaniam Sundarnar University, Thirunelveli","Mulagumoodu-629 167,District Kanniyakumari",,Tamil Nadu,2(f),2016.0,Master's,Non Government,Unaided,colleges,Mulagumoodu,629 167,,,,0.6000000000000001,,False,True
Info Institute of Engineering,"Anna University, Chennai","N.H.209, Sathy Road, Kovilpalayam, Coimbatore-641 107, Tamil Nadu",Coimbatore,Tamil Nadu,2(f),2007.0,Master's,Non-Government,Unaided,colleges,N.H.209,Sathy Road,,,,0.6000000000000001,Coimbatore,False,True
Innovative Institute of Education and Technology,"Choudhary Charan Singh University, Meerut","Plot No.6, Knowledge Park-2, Greater Noida",,Uttar Pradesh,2(f),2005.0,Bachelor's,Non Government,,colleges,Plot No.6,Knowledge Park,,,,0.6000000000000001,,False,True
Innovative Institute of Law,"Choudhary Charan Singh Haryana Agricultural University, Hisar","Plot No. – 6, Knowledge Park -2, Greater Noida – 201 308.",,Uttar Pradesh,2(f),2005.0,Bachelor's,Non Government,Unaided,colleges,Plot No. – 6,Knowledge Park,,,,0.6000000000000001,,False,True
Insight Institute of Education and Training,"Kashmir University, Srinagar","Rawalpora, Srinagar",Kashmir,Jammu and Kashmir,2(f),2005.0,Bachelor's,Non Government,,colleges,Rawalpora,Srinagar,,,,0.6000000000000001,Kashmir,False,True
Institute for Education & Technical Sciences,"Choudhary Charan Singh University, Meerut","NH-58, Abupur Road, Muradnagar, Dist. Ghaziabad - 201 206",Ghaziabad,Uttar Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,NH,58,,,,0.6000000000000001,Ghaziabad,False,True
Institute of  Management Studies,"Choudhary Charan Singh University, Meerut","G.T. Road, Ghaziabad - 201009",,Uttar Pradesh,2(f),1990.0,Bachelor's,Non Government,,colleges,G.T. Road,Ghaziabad,,,,0.6000000000000001,,False,True
Institute of Advanced Studies in Education,"University of Madras, Chennai","Saidapet, District Madras - 600 015",,Tamil Nadu,2(f) and 12(B),1887.0,Master's,Government,,colleges,Saidapet,District Madras,,,,0.6000000000000001,,False,True
Institute of Advanced Study in Education,"Mizoram University, Aizawl",Aizawl,,Mizoram,2(f) and 12(B),1975.0,Bachelor's,Government,,colleges,Aizawl,,,,,0.2,,False,True
Institute of Advanced Study in Education,"Sri Krishnadevaraya University, Anantapur","Kurnool, District Kurnool",Kurnool,Andhra Pradesh,2(f) and 12(B),1952.0,Bachelor's,Government,,colleges,Kurnool,District Kurnool,,,,0.6000000000000001,Kurnool,False,True
Institute of Advanced Study in Education,"Barkatullah University, Bhopal","Barasia Road, Bhopal - 462 038",,Madhya Pradesh,2(f) and 12(B),1954.0,Bachelor's,Government,Aided,colleges,Barasia Road,Bhopal,,,,0.6000000000000001,,False,True
Institute of Advanced Study in Education,"Calicut University, Kozhikode",Thrissur – 680 020,,Kerala,2(f) and 12(B),1945.0,Master's,Government,Aided,colleges,Thrissur – 680 020,,,,,0.2,,False,True
Institute of Aeronautical Engineering,"Jawaharlal Nehru Technological University, Hyderabad","Dundigal (V), Quthbullapur (M), Hyderabad – 500 043",,Telangana,2(f) and 12(B),2000.0,Master's,Non Government,Unaided,colleges,Dundigal (V),Quthbullapur (M),,,,0.6000000000000001,,False,True
Institute of Aplied Medicines & Research,"Choudhary Charan Singh University, Meerut","NH - 24, Delhi - Hapur By Pass Road, Ghaziabad, District Ghaziabad",,Uttar Pradesh,2(f),2000.0,Bachelor's,Non Government,,colleges,NH,24,,,,0.6000000000000001,,False,True
Institute of Asian Studies,"University of Madras, Chennai","Chemmancherry, Sholingannallur(PO) Chennai - 600 019",,Tamil Nadu,2(f) and 12(B),1988.0,Bachelor's,Government,,colleges,Chemmancherry,Sholingannallur(PO) Chennai,,,,0.6000000000000001,,False,True
Institute of Aviation Medicine,"Rajiv Gandhi University of Health Science, Bangalore","Vimanapura Post, Bangalore - 17, Dist. Bangalore",,Karnataka,2(f) and 12(B),1957.0,Master's,Government,,colleges,Vimanapura Post,Bangalore,,,,0.6000000000000001,,False,True
Institute of Bioinformatics and Applied Biotechnology (IBAB),"Bangalore University, Bangalore","Biotech Park, Electronic City Phase I, Bangalore-560 100",Bangalore,Karnataka,2(f) and 12(B),2011.0,Master's,Non Government,Unaided,colleges,Biotech Park,Electronic City Phase I,,,,0.6000000000000001,Bangalore,False,True
Institute of Computer Science & Technology,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi","Nibia, Bachchaon, Varanasi – 221 011",,Uttar Pradesh,2(f) and 12(B),2003.0,Bachelor's,Non Government,,colleges,Nibia,Bachchaon,,,,0.6000000000000001,,False,True
Institute of Education,"Vidya Sagar University,  Midnapore","Haldia, Vill. Amlat, P.O. + P.S. – Sutahata, Dist. Purba Medinipur – 721 635",,West Bengal,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Haldia,Vill. Amlat,,,,0.6000000000000001,,False,True
Institute of Education,"Veer Bahadur Singh Purvanchal University, Jaunpur","Nibia, Bachchaon, Varanasi – 221 011",,Uttar Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,,colleges,Nibia,Bachchaon,,,,0.6000000000000001,,False,True
Institute of Education For Women,"Calcutta University, Kolkata","Hastings House, Alipore, Calcutta - 27, District Calcutta",,West Bengal,2(f) and 12(B),1954.0,Bachelor's,Government,,colleges,Hastings House,Alipore,,,,0.6000000000000001,,False,True
Institute of Engineering & Management,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Salt Lake Electronics Complex, Kolkata – 700 091",Kolkata,West Bengal,2(f),1989.0,Master's,Non Government,Unaided,colleges,Salt Lake Electronics Complex,Kolkata – 700 091,,,,0.6000000000000001,Kolkata,False,True
Institute of Engineering & Technology,"Lucknow University, Lucknow","Lucknow, District Lucknow",,Uttar Pradesh,2(f) and 12(B),1985.0,Master's,Government,,colleges,Lucknow,District Lucknow,,,,0.6000000000000001,,False,True
Institute of Engineering and Technology,"I.K. Gujral Punjab Technical University, Jalandhar","IET Bhaddal Technical Campus, P.O. Mianpur – 140 108, Dist. Ropar",,Punjab,2(f) and 12(B),1998.0,Master's,Non Government,Unaided,colleges,IET Bhaddal Technical Campus,P.O. Mianpur – 140 108,,,,0.6000000000000001,,False,True
Institute of Environment & Management,"Dr Ram Manohar Lohia Awadh University, Faizabad","Village - Gugaur, Post - Anwari, Lko - Kursi Road, Barabanki",,Uttar Pradesh,2(f) and 12(B),1998.0,Bachelor's,Non Government,Unaided,colleges,Village,Gugaur,,,,0.6000000000000001,,False,True
Institute of Evening Studies,"Jai Narain Vyas University, Jodhpur","S.M.K. Campus, Jai Narain Vyas Unviersity, Jodhpur – 342 001",,Rajasthan,2(f) and 12(B),1964.0,Bachelor's,Government,Aided,colleges,S.M.K. Campus,Jai Narain Vyas Unviersity,,,,0.6000000000000001,,False,True
Institute of Excellence in Higher Educastion,"Barkatullah University, Bhopal","Kallasot Dam, Kolar Road, Bhopal - 16",,Madhya Pradesh,2(f) and 12(B),2000.0,Master's,Government,,colleges,Kallasot Dam,Kolar Road,,,,0.6000000000000001,,False,True
Institute of Genetic Engineering,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Badu, Kolkata – 700 128",,West Bengal,2(f),2003.0,Master's,Non Government,Unaided,colleges,Badu,Kolkata – 700 128,,,,0.6000000000000001,,False,True
Institute of Health Sciences,"Utkal  University,  Bhubaneswar","Chandaka, Bhubaneswar - 754 005, Dist. Khordha",Khordha,Odisha,2(f) and 12(B),2001.0,Bachelor's,Non Government,Unaided,colleges,Chandaka,Bhubaneswar,,,,0.6000000000000001,Khordha,False,True
Institute of Home Economics,"University of Delhi, Delhi","F - 4, Hauz Khas Enclave (Behind Laxman Public School), New Delhi - 110016",,Delhi,2(f) and 12(B),1969.0,Master's,Non Government,,colleges,F,4,,,,0.6000000000000001,,False,True
Institute of Indian Culture,"Mumbai University, Mumbai","Mahakali Road, Andheri (E), Mumbai – 400 093",,Maharashtra,2(f) and 12(B),1950.0,Master's,Non Government,Unaided,colleges,Mahakali Road,Andheri (E),,,,0.6000000000000001,,False,True
Institute of Informatics & Management Sciences,"Choudhary Charan Singh University, Meerut","Anuyogipuram, Near Medical College, Garh Road, Meerut-250 004",,Uttar Pradesh,2(f),1998.0,Bachelor's,Non Government,,colleges,Anuyogipuram,Near Medical College,,,,0.6000000000000001,,False,True
Institute of Information Management and Technology,"Dr. B.R. Ambedkar University, Agra","Panchsheel Colony, Ramghat Road, Near Quarsi Sub Station, Aligarh – 202 001",,Uttar Pradesh,2(f) and 12(B),2000.0,Bachelor's,Non Government,,colleges,Panchsheel Colony,Ramghat Road,,,,0.6000000000000001,,False,True
Institute of Information Technology & Management,"Guru Gobind Singh Indraprastha University, Dwarka","D-29, Institutional Area, Janak Puri",Janak Puri,Delhi,2(f),1999.0,Master's,Non Government,Unaided,colleges,D,29,,,,0.6000000000000001,Janak Puri,False,True
Institute of Innovation in Technology & Management,"Guru Gobind Singh Indraprastha University, Dwarka","D-27 & 28, Institutional Area, Janakpuri, New Delhi - 110 058",,Delhi,2(f),2009.0,Bachelor's,Non Government,Unaided,colleges,D,27 & 28,,,,0.6000000000000001,,False,True
Institute of Language Research,"Rani Durgavati Vishwavidyalaya, Jabalpur","Jabalpur, Dist. Jabalpur",,Madhya Pradesh,2(f) and 12(B),2000.0,Bachelor's,Government,,colleges,Jabalpur,Dist. Jabalpur,,,,0.6000000000000001,,False,True
Institute of Language Studies and Applied Social Sciences (ILSASS),"Sardar Patel University, Vallabh Vidyanagar",Vallabh Vidyanagar – 388 120,,Gujarat,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Vallabh Vidyanagar – 388 120,,,,,0.2,,False,True
Institute of Language Teaching (English Medium) B.Ed. College,"Saurashtra University, Rajkot","Kotecha Chowk, Kalavad Road, Rajkot - 360 005",Rajkot,Gujarat,2(f) and 12(B),1990.0,Bachelor's,Non Government,Aided,colleges,Kotecha Chowk,Kalavad Road,,,,0.6000000000000001,Rajkot,False,True
Institute of Leadership Entrepreneurship and Development,"Maulana Abul Kalam Azad University of Technology,  Kolkata","113J, Matheswartola Road (Near Park Regency Hotel), Kolkata – 700 046",Kolkata,West Bengal,2(f),2010.0,Master's,Non Government,Unaided,colleges,113J,Matheswartola Road (Near Park Regency Hotel),,,,0.6000000000000001,Kolkata,False,True
Institute of Management & Computer Studies,"Dr. B.R. Ambedkar University, Agra","Sector – 13, Avas Vikas Colony, Sikandra – Bodla Road, Agra – 7",,Uttar Pradesh,2(f) and 12(B),1999.0,Bachelor's,Non Government,Unaided,colleges,Sector – 13,Avas Vikas Colony,,,,0.6000000000000001,,False,True
Institute of Management & Sciences,"M.J.P.Rohilkhand University, Bareilly","97 Mile Stone, NH - 24, Kakather Crossing, Near Brajghat, Gajraula, Dist. J.P. Nagar (Amroha) – 244 235",,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,97 Mile Stone,NH,,,,0.6000000000000001,,False,True
Institute of Management Education,"Choudhary Charan Singh University, Meerut","178, Main G.T. Road, Sahibabad, District Gaziabad",,Uttar Pradesh,2(f) and 12(B),1996.0,Master's,Non Government,,colleges,178,Main G.T. Road,,,,0.6000000000000001,,False,True
Institute of Management Studies,"Uttrakhand Technical University, Dehradun","Mussoorie Diversion Road, Dehradun – 248 009",,Uttarakhand,2(f),1997.0,Master's,Non Government,Unaided,colleges,Mussoorie Diversion Road,Dehradun – 248 009,,,,0.6000000000000001,,False,True
Institute of Management Studies,"Choudhary Charan Singh University, Meerut","A -8 B, IMS Campus, Sector – 62,Noida – 201 303",,Uttar Pradesh,2(f) and 12(B),1998.0,Master's,Non Government,Unaided,colleges,A,8 B,,,,0.6000000000000001,,False,True
Institute of Management Studies,"Ch. Charan Singh University, Meerut","NH – 9, Adhyatmik Nagar, Ghaziabad (NCR) – 201 015,",Ghaziabad,Uttar Pradesh,12B,1990.0,Master's,Non Government,Unaided,colleges,NH – 9,Adhyatmik Nagar,,,,0.6000000000000001,Ghaziabad,False,True
Institute of Management Study,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Eastern Metropolitan Byepass, 93 Mukundapur Main Road, Kolkata – 700 099",,West Bengal,2(f),2006.0,Master's,Non Government,Unaided,colleges,Eastern Metropolitan Byepass,93 Mukundapur Main Road,,,,0.6000000000000001,,False,True
Institute of Management Training & Research,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Aurangabad - 431 001,,Maharashtra,2(f),1983.0,Master's,Non Government,,colleges,Aurangabad,431 001,,,,0.6000000000000001,,False,True
Institute of Mass Communication Film and Television Studies,"Kalyani University, Kalyani","188/57, Prince Anwar Shah Road, Kolkata-700 045",,West Bengal,2(f),2001.0,Bachelor's,Non Government,,colleges,188/57,Prince Anwar Shah Road,,,,0.6000000000000001,,False,True
Institute of Nursing Education,"Mumbai University, Mumbai","Motlibai Bldg, Byculla, Dist. Mumbai - 400 008",,Maharashtra,2(f) and 12(B),1960.0,Master's,Government,,colleges,Motlibai Bldg,Byculla,,,,0.6000000000000001,,False,True
Institute of Oriental Philosophy,"Dr. B.R. Ambedkar University, Agra","Vrindaban, District Mathura",,Uttar Pradesh,2(f) and 12(B),1964.0,Master's,Non Government,,colleges,Vrindaban,District Mathura,,,,0.6000000000000001,,False,True
Institute of Pharmaceutical Education and Research,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Borgaon, Meghe, Wardha – 442 001",,Maharashtra,2(f) and 12(B),1991.0,Master's,Non Government,Unaided,colleges,Borgaon,Meghe,,,,0.6000000000000001,,False,True
Institute of Pharmacy & Technology,"Biju Patnaik University of Technology, Rourkela","At/P.O. – Salipur, Dist. Cuttack – 754 202",Cuttack,Odisha,2(f),1995.0,Master's,Non Government,Unaided,colleges,At/P.O. – Salipur,Dist. Cuttack – 754 202,,,,0.6000000000000001,Cuttack,False,True
Institute of Post Graduate Ayurvedic Education and Research,"Calcutta University, Kolkata","Shyamadas Vaidya Shastra Pith Hospital, 294\3\1, Acharya Prafulla Chandra Road-700 009",,West Bengal,2(f) and 12(B),1971.0,Master's,Government,,colleges,Shyamadas Vaidya Shastra Pith Hospital,294\3\1,,,,0.6000000000000001,,False,True
Institute of Post Graduate Medical Education & Research,"Calcutta University, Kolkata","244, A.J.C. Bose Road, District Calcutta - 700 020",,West Bengal,2(f) and 12(B),1956.0,Master's,Government,,colleges,244,A.J.C. Bose Road,,,,0.6000000000000001,,False,True
Institute of Professional Education and Research,"Barkatullah University, Bhopal","Opp. British Park, 11 Mile, Hoshangabad Road, Bhopal – 462 026",Bhopal,Madhya Pradesh,2(f) and 12(B),1996.0,Master's,Non Government,Unaided,colleges,Opp. British Park,11 Mile,,,,0.6000000000000001,Bhopal,False,True
Institute of Professional Excellence & Management,"Choudhary Charan Singh University, Meerut","A-13/1, South Side G.T. Road, Industrial Area, NH – 24 By-pass, Ghaziabad – 201 010",,Uttar Pradesh,2(f) and 12(B),1996.0,Bachelor's,Non Government,Unaided,colleges,A,13/1,,,,0.6000000000000001,,False,True
Institute of Professional Studies,"Jiwaji University, Gwalior","P. Box No. 14, Near Bela Ki Bawadi Tiraha, Shivpuri Link Road, Gwalior – 474 001",,Madhya Pradesh,2(f),2005.0,Master's,Non Government,Unaided,colleges,P. Box No. 14,Near Bela Ki Bawadi Tiraha,,,,0.6000000000000001,,False,True
Institute of Professional Studies,"Choudhary Charan Singh University, Meerut","Kh-3, Kavi Nagar, District, Ghaziabad",,Uttar Pradesh,2(f),2003.0,Bachelor's,Non Government,,colleges,Kh,3,,,,0.6000000000000001,,False,True
Institute of Professional Studies & Research,"Biju Patnaik University of Technology, Rourkela","IPSAR House, Sector – 6, Cuttack – 753 014.",Cuttack,Odisha,2(f),1993.0,Master's,Non Government,Unaided,colleges,IPSAR House,Sector – 6,,,,0.6000000000000001,Cuttack,False,True
Institute of Public Enterprise,"Osmania University, Hyderabad","University Campus, Hyderabad, District Hyderabad - 500 007",,Telangana,2(f) and 12(B),1981.0,Master's,Government,,colleges,University Campus,Hyderabad,,,,0.6000000000000001,,False,True
Institute of Road and Transport,"Anna University, Chennai","Vasavi College Post, Erode - 638 316",Erode,Tamil Nadu,2(f) and 12(B),1984.0,Bachelor's,Non Government,Unaided,colleges,Vasavi College Post,Erode,,,,0.6000000000000001,Erode,False,True
"Institute of Rural Education- IRE,","Manipur University, Imphal","IRE – Complex, P.O. Wangjing, Thoubal Dist. 795 148.",Thoubal,Manipur,2(f),2007.0,Bachelor's,Non Government,Unaided,colleges,IRE – Complex,P.O. Wangjing,,,,0.6000000000000001,Thoubal,False,True
Institute of Science,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Aurangabad - 431 001,,Maharashtra,2(f) and 12(B),1974.0,Master's,Government,,colleges,Aurangabad,431 001,,,,0.6000000000000001,,False,True
Institute of Science,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Nagpur, District Nagpur",,Maharashtra,2(f) and 12(B),1909.0,Master's,Government,,colleges,Nagpur,District Nagpur,,,,0.6000000000000001,,False,True
Institute of Science & Technology for Advanced Studies & Research (ISTAR),"Sardar Patel University, Vallabh Vidyanagar","Vallabh Vidyanagar- 388 120, Dist. Anand",,Gujarat,2(f) and 12(B),1999.0,Master's,Non Government,Unaided,colleges,Vallabh Vidyanagar,388 120,,,,0.6000000000000001,,False,True
Institute of Science and Technology,"Jawaharlal Nehru Technological University, Hyderabad","Kukatpally, Hyderabad – 500 085",,Telangana,2(f) and 12(B),1989.0,Master's,Constituent,,colleges,Kukatpally,Hyderabad – 500 085,,,,0.6000000000000001,,False,True
Institute of Science and Technology,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Dhurabila, Dhamkuria, Chandrakona Town, Paschim Medinipur – 721 201",Paschim Medinipur,West Bengal,2(f) and 12(B),2005.0,Master's,Non Government,Unaided,colleges,Dhurabila,Dhamkuria,,,,0.6000000000000001,Paschim Medinipur,False,True
"Institute of Science, Poona’s College of Computer Sciences","Savitribai Phule Pune University, Pune","Survey No. 130, Mumbai - Bangalore Highway, Opp. Wakad Police Chowkey, Wakad, Pune – 411 057",Pune,Maharashtra,2(f),1998.0,Bachelor's,Non Government,,colleges,Survey No. 130,Mumbai,,,,0.6000000000000001,Pune,False,True
Institute of Teacher Education,"Choudhary Charan Singh University, Meerut","Delhi-Meerut Road, Kadrabad, Modinagar-201 201, District Ghaziabad",,Uttar Pradesh,2(f),1999.0,Bachelor's,Non Government,,colleges,Delhi,Meerut Road,,,,0.6000000000000001,,False,True
Institute of Technical Education & Research Centre,"Choudhary Charan Singh University, Meerut","446 Institutional Area Delhi Meerut Road, Duhai, Ghaziabad",,Uttar Pradesh,2(f),2004.0,Bachelor's,Non Government,,colleges,446 Institutional Area Delhi Meerut Road,Duhai,,,,0.6000000000000001,,False,True
Institute of Technology & Management,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow","12th Km. Stone, Meerut – Baghpat Road, Panchli Khurd, Meerut – 250 002",,Uttar Pradesh,2(f),2007.0,Master's,Non Government,,colleges,12th Km. Stone,Meerut – Baghpat Road,,,,0.6000000000000001,,False,True
Institute of Technology & Management,"Gautam Budh Technical University, Lucknow","Aligarh-Palwal-Delhi Road, Karsua, Aligarh – 202 001",,Uttar Pradesh,2(f),2008.0,Master's,Non Government,,colleges,Aligarh,Palwal,,,,0.6000000000000001,,False,True
Institute of Technology & Science,"Choudhary Charan Singh University, Meerut","Mohan Nagar, District Ghaziabad",,Uttar Pradesh,2(f) and 12(B),1996.0,Master's,Non Government,,colleges,Mohan Nagar,District Ghaziabad,,,,0.6000000000000001,,False,True
Institute of Technology and Management,"Swami Ramanand Teerth Marathwada University, Nanded","VIP Road, Nanded – 431 602",,Maharashtra,2(f) and 12(B),1997.0,Bachelor's,Non Government,Unaided,colleges,VIP Road,Nanded – 431 602,,,,0.6000000000000001,,False,True
Integral Degree College,"M.J.P.Rohilkhand University, Bareilly","Saifni, Rampur – 244 922, Uttar Pradesh",Rampur,Uttar Pradesh,2(f) and 12(B),2016.0,Bachelor's,Non Government,Unaided,colleges,Saifni,Rampur – 244 922,,,,0.6000000000000001,Rampur,False,True
Integrated Academy of Management and Technology,"Ch. Charan Singh University, Meerut","Delhi-Meerut Expressway,  (NH-9, Exit,4) Right Before Dasna Flyover, Ghaziabad-201 009",Ghaziabad,Uttar Pradesh,2(f),2018.0,Bachelor's,Non Government,Unaided,colleges,Delhi,Meerut Expressway,,,,0.6000000000000001,Ghaziabad,False,True
Integrated School of Law,"Choudhary Charan Singh University, Meerut","Delhi-Meerut Expressway,  (NH-9, Exit,4) Right Before Dasna Flyover, Ghaziabad-201 009,  Uttar Pradesh",,Uttar Pradesh,2(f),2002.0,Bachelor's,Non Government,Unaided,colleges,Delhi,Meerut Expressway,,,,0.6000000000000001,,False,True
International College,"T.M.Bhagalpur University, Bhagalpur","Ghosaith, P.O. Piri Bazar, Dist. Lakhisarai – 811 311",Lakhisarai,Bihar,2(f) and 12(B),1978.0,Bachelor's,Non Government,Unaided,colleges,Ghosaith,P.O. Piri Bazar,,,,0.6000000000000001,Lakhisarai,False,True
International College of Engineering,"Mahamaya Technical University, Gautam Budh Nagar","New Educational Hub, Didoli, Muradnagar, Ghaziabad – 201 206",,Uttar Pradesh,2(f),2009.0,Bachelor's,Non Government,Unaided,colleges,New Educational Hub,Didoli,,,,0.6000000000000001,,False,True
International Institute of Business Studies,"Bangalore University, Bangalore","# 75, Muthugadahalli, Jala Hobli, Bengalore North Taluk, Bangalore Urban Dist., Bangalore – 562 157.",Bangalore,Karnataka,2(f),2008.0,Master's,Non Government,Unaided,colleges,# 75,Muthugadahalli,,,,0.6000000000000001,Bangalore,False,True
International Institute of Tamil Studies,"University of Madras, Chennai","C.I.T. Campus Adyar, TTI Post, Chennai - 600 019",,Tamil Nadu,2(f) and 12(B),1970.0,Master's,Government,,colleges,C.I.T. Campus Adyar,TTI Post,,,,0.6000000000000001,,False,True
International School of Informatics & Management,"Rajasthan Technical University,  Kota","Sector – 12, Mahaveer Marg, Mansarovar, Jaipur – 302 020",Jaipur,Rajasthan,2(f),1997.0,Master's,Non Government,Unaided,colleges,Sector – 12,Mahaveer Marg,,,,0.6000000000000001,Jaipur,False,True
International School of Media and Entertainment Studies,"Choudhary Charan Singh University, Meerut","FC - 23, Sector - 16A, Film City, Noida - 201 301",,Uttar Pradesh,2(f) and 12(B),2016.0,Bachelor's,Non Government,Unaided,colleges,FC,23,,,,0.6000000000000001,,False,True
International School of Technology & Sciences for Women,"Jawaharlal Nehru Technological University, Kakinada","NH – 5, East Gonagudem, Rajanagaram District East Godavari - 533 294, Andhra Pradesh",,Andhra Pradesh,2(f) and 12(B),2009.0,Master's,Non Government,Unaided,colleges,NH – 5,East Gonagudem,,,,0.6000000000000001,,False,True
IPEM Law Academy,"Choudhary Charan Singh University, Meerut","A-13/1, S.S. G.T. Road, Industrial Area, NH - 24 Bypass, Ghaziabad – 201 010",,Uttar Pradesh,2(f) and 12(B),2005.0,Bachelor's,Non Government,Unaided,colleges,A,13/1,,,,0.6000000000000001,,False,True
IPS Academy,"Devi Ahilya Vishwavidyalaya, Indore","Knowledge Village, Rajendra Nagar, A.B. Road, Indore – 452 012",Indore,Madhya Pradesh,2(f) and 12(B),1994.0,Master's,Non Government,Unaided,colleges,Knowledge Village,Rajendra Nagar,,,,0.6000000000000001,Indore,False,True
"IPS Academy, Institute of Business Management and Research","Devi Ahilya Vishwavidyalaya, Indore","Knowledge Village, Rajendra Nagar, A.B. Road, Indore-452 012",Indore,Madhya Pradesh,2(f) and 12(B),1994.0,Master's,Non Government,Unaided,colleges,Knowledge Village,Rajendra Nagar,,,,0.6000000000000001,Indore,False,True
"IPS Academy, Institute of Engineering & Science","Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","Rajendra Nagar, A.B. Road, Indore - 452 012",Indore,Madhya Pradesh,2(f),1999.0,Master's,Non Government,Unaided,colleges,Rajendra Nagar,A.B. Road,,,,0.6000000000000001,Indore,False,True
Iqbal College,"Kerala University, Thiruvananthapuram","Thiruvananthapuram, Dist. Thiruvananthapuram- 695 563",,Kerala,2(f) and 12(B),1964.0,Bachelor's,Non Government,,colleges,Thiruvananthapuram,Dist. Thiruvananthapuram,,,,0.6000000000000001,,False,True
Iqbal Institute of Technology and Management,"University of Kashmir, Srinagar","Iqbal Institute of Technology and Management, Laloosheshgaribagh, Hyderpora, Srinagar-190 014, Jammu & Kashmir",Srinagar,Jammu and Kashmir,2(f),2006.0,Master's,Non-Government,Unaided,colleges,Iqbal Institute of Technology and Management,Laloosheshgaribagh,,,,0.6000000000000001,Srinagar,False,True
Isabella Thouburn College,"Lucknow University, Lucknow","Faizabad Road, Lucknow, District Lucknow - 226 007",,Uttar Pradesh,2(f) and 12(B),1921.0,Bachelor's,Non Government,,colleges,Faizabad Road,Lucknow,,,,0.6000000000000001,,False,True
Ishan  Institute of Management and Technology,"Choudhary Charan Singh University, Meerut","2, Knowledge Park-1, Greater Noida, Gautam Budh Nagar",,Uttar Pradesh,2(f),2000.0,Bachelor's,Non Government,,colleges,2,Knowledge Park,,,,0.6000000000000001,,False,True
