Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
"Chaitanya Degree & P.G. College for Women,","Andhra University, Visakhapatnam","Chaitanya Nagar, Old Gajuwaka,  Visakhapatnam-530 026,",Visakhapatnam,Andhra Pradesh,2(f),1996.0,Master's,Non Government,Unaided,colleges,Chaitanya Nagar,Old Gajuwaka,,,,0.6000000000000001,Visakhapatnam,False,True
Chaitanya Degree College,"Kakatiya University, Warangal","Hanamkonda, Warangal",,Telangana,2(f) and 12(B),1991.0,Bachelor's,Non Government,,colleges,Hanamkonda,Warangal,,,,0.6000000000000001,,False,True
Chaitanya PG College,"Kakatiya University, Warangal","Kishanpura, Hanamkonda, District Warangal - 506 001",,Telangana,2(f) and 12(B),1993.0,Master's,Non Government,,colleges,Kishanpura,Hanamkonda,,,,0.6000000000000001,,False,True
Chaiytugayta (Alor) Government College,"Shaheed Mahendra Karma Vishwavidyalaya, Bastar","Pharasgaon, CTO Colony Korraplatpara, Distt.  Kondagaon – 494 228, Chhattisgarh",Kondagaon,Chhattisgarh,2(f),2013.0,Bachelor's,Government,Aided,colleges,Pharasgaon,CTO Colony Korraplatpara,,,,0.6000000000000001,Kondagaon,False,True
Chajju Ram College of Education,"Chaudhary Devi Lal University, Sirsa.","Hissar, dist. Hisar",,Haryana,2(f) and 12(B),1968.0,Bachelor's,Non Government,,colleges,Hissar,dist. Hisar,,,,0.6000000000000001,,False,True
Chakan shikshan Mandal's Arts and Comm. College,"Savitribai Phule Pune University, Pune","Chakham, Tal. Khed, Dist. Pune",Pune,Maharashtra,2(f) and 12(B),1987.0,Bachelor's,Non Government,,colleges,Chakham,Tal. Khed,,,,0.6000000000000001,Pune,False,True
Chakdaha College,"Kalyani University, Kalyani","Chakdaha, District Nadia",,West Bengal,2(f) and 12(B),1973.0,Bachelor's,Non Government,,colleges,Chakdaha,District Nadia,,,,0.6000000000000001,,False,True
Chalapathi Institute of Engineering & Technology,"Acharya Nagarjuna University, Nagarjuna Nagar","Chalapathi Nagar, Lam, Dist. Guntur - 522 034",Guntur,Andhra Pradesh,2(f),2007.0,Bachelor's,Non Government,Unaided,colleges,Chalapathi Nagar,Lam,,,,0.6000000000000001,Guntur,False,True
Chalapathi Institute of Pharmaceutical Sciences,"Acharya Nagarjuna University, Nagarjuna Nagar","Chalapathi Nagar, LAM, Guntur – 522 034",Guntur,Andhra Pradesh,2(f) and 12(B),2004.0,Master's,Non Government,Unaided,colleges,Chalapathi Nagar,LAM,,,,0.6000000000000001,Guntur,False,True
Chalapathi Institute of Technology,"Jawaharlal Nehru Technological University, Kakinada","A.R. Nagar, Mothadaka, District Guntur-522 016, Andhra Pradesh",Guntur,Andhra Pradesh,2(f) and 12(B),2008.0,Master's,Non Government,Unaided,colleges,A.R. Nagar,Mothadaka,,,,0.6000000000000001,Guntur,False,True
Chaman Lal Law College,"Uttrakhand Technical University, Dehradun","Landhaura – Roorkee, Dist. Haridwar – 247 664",,Uttarakhand,2(f),2015.0,Bachelor's,Non Government,Unaided,colleges,Landhaura – Roorkee,Dist. Haridwar – 247 664,,,,0.6000000000000001,,False,True
Chaman Lal Mahavidhyalaya,"Sri Dev Suman Uttarakhand University, Tehri","Landhora, Haridwar – 247 664",Tehri Garhwal,Uttarakhand,2(f),2013.0,Bachelor's,Non Government,Unaided,colleges,Landhora,Haridwar – 247 664,,,,0.6000000000000001,Tehri Garhwal,False,True
Chamarajendra Academy of Visual Arts,"Mysore University, Mysore","S.R. Road, Dist. Mysore - 570 016",Mysore,Karnataka,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,S.R. Road,Dist. Mysore,,,,0.6000000000000001,Mysore,False,True
Chameli Devi Group of Institutions,"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal","Gram Umrikheda, Khandwa Road, Indore - 452 020",Indore,Madhya Pradesh,2(f),2006.0,Bachelor's,Non Government,Unaided,colleges,Gram Umrikheda,Khandwa Road,,,,0.6000000000000001,Indore,False,True
Champaran Group of Institutions,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","Marjadwa-Parsa, Block Mainatand,  West Champaran, Bettiah-845 306,  Bihar",,Bihar,2(f),2021.0,Bachelor's,Non Government,Unaided,colleges,Marjadwa,Parsa,,,,0.6000000000000001,,False,True
Champaran Group of Institutions,Babasaheb Bhimrao Ambedkar Bihar University,"Marjadwa-Parsa, Block Mainatand,",West Champaran,Bihar,2(f),2021.0,Bachelor's,Non Government,Unaided,colleges,Marjadwa,Parsa,,,,0.6000000000000001,West Champaran,False,True
Champhai College,"Mizoram University, Aizawl","Champhai, District Aizawal",,Mizoram,2(f) and 12(B),1974.0,Bachelor's,Government,,colleges,Champhai,District Aizawal,,,,0.6000000000000001,,False,True
