id,institution_type,name,address,postal_code,state,status,source_file,Name of the college,Affiliated To University,College address,District,State,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,unique_id,latitude,longitude,address_quality,geocoding_priority,geocoding_confidence,geocoding_source
68.0,Private,Bhaikaka University,"Gokal Nagar, Karamsad Gujarat, India Karamsad, PIN: 388325, District nan",388325.0,Gujarat,2(f),Private Uni.csv,,,,,,,,,,Private_262,22.5429215,72.90176029999999,100,1,0.6,google
212.0,State,Karnataka  State Law University,"Navanagar, Hubli-580025Karnataka, PIN: 580025, District nan",580025.0,Karnataka,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_903,15.3935685,75.0800957,100,1,0.6,google
213.0,State,Karnataka  State Open University,"ManasangangotriMysore-, PIN: 570006, District nan, Karnataka",570006.0,Karnataka,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_904,12.314831,76.62105389999999,100,1,0.6,google
169.0,Private,IILM University,"IILM University, 1, Knowledge Centre, Golf Course Road, Sector-53, Gurugram-Haryana-122003Golf course RoadSector-53, Gurugram, PIN: 122003, District nan",122003.0,Haryana,2(f),Private Uni.csv,,,,,,,,,,Private_363,28.4426194,77.0954264,100,1,0.8500000000000001,google
222.0,State,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,"Administration Building, Mouda Road, Ramtek, District Nagpur Ramtek-, District NagpurMaharashtra, PIN: 441106, District nan",441106.0,Maharashtra,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_913,21.3720124,79.3118286,100,1,0.8,google
225.0,State,Kerala Agricultural Unviersity,"Kerala Agricultural University KAU Main Campus KAU Post Office , Vellanikkara, Thrissur, Kerala, 680656Thrissur - 680 654., PIN: 680656, District nan",680656.0,Kerala,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_916,10.5485377,76.2873675,100,1,0.8,google
92.0,State,Davangere University,"Davangere University, Shivagangotri, DavangereDavangere Karnataka-, PIN: 577002, District nan",577007.0,Karnataka,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_783,14.3934494,75.9649056,100,1,0.8,google
36.0,Private,Apeejay Stya University,"Sohna - Palwal Road, Sohna, Gurugram - 122103Gurgaon, PIN: 122103, District nan, Haryana",122103.0,Haryana,2(f) & 12(B),Private Uni.csv,,,,,,,,,,Private_230,28.2411474,77.0782707,100,1,0.8500000000000001,google
243.0,State,Kumar Bhaskar Varma Sanskrit & Ancient Studies University,"NAMATI, HATI NAMATI, NALBARI, ASSAM-, INDIAP.O.- Hati NamatiDist-Nalbari, Assam, PIN: 781337, District nan",781337.0,Assam,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_934,26.497747,91.447364,100,1,0.8,google
22.0,Private,AMITY University,"Plot No. 4, Gautam Buddha Nagar, Sector-125, Noida, Uttar Pradesh PIN 201313Gautam Budh Nagar, PIN: 201313, District nan",201313.0,Uttar Pradesh,2(f),Private Uni.csv,,,,,,,,,,Private_216,28.5437925,77.3310067,100,1,0.6,google
